seq,rtt_ms,oneway_est_ms
454,51.34,25.67
455,123.03,61.52
456,322.78,161.39
457,16.83,8.42
458,9.67,4.84
459,66.42,33.21
460,10.90,5.45
461,103.89,51.95
462,294.07,147.03
463,296.43,148.21
464,20.19,10.09
465,274.12,137.06
466,270.91,135.46
467,261.87,130.94
468,363.81,181.90
469,263.02,131.51
470,12.07,6.04
471,284.63,142.32
472,125.43,62.71
473,74.20,37.10
474,58.99,29.49
475,57.20,28.60
476,56.23,28.12
477,206.41,103.21
478,126.10,63.05
479,33.00,16.50
480,370.63,185.32
481,16.01,8.01
482,320.90,160.45
483,118.18,59.09
484,8.22,4.11
485,20.28,10.14
486,11.27,5.64
487,61.78,30.89
488,337.47,168.74
489,20.71,10.35
490,50.07,25.03
491,145.82,72.91
492,62.70,31.35
493,321.97,160.98
494,342.53,171.27
495,72.08,36.04
496,16.12,8.06
497,19.23,9.62
498,325.11,162.56
499,22.88,11.44
500,200.95,100.47
501,291.37,145.69
502,333.06,166.53
503,248.08,124.04
504,13.50,6.75
505,5.45,2.72
506,100.17,50.09
507,53.60,26.80
508,371.59,185.79
509,69.93,34.97
510,8.48,4.24
511,65.56,32.78
512,203.60,101.80
513,343.27,171.64
514,56.57,28.29
515,148.04,74.02
516,110.61,55.31
517,130.82,65.41
518,64.66,32.33
519,156.14,78.07
520,295.77,147.89
521,180.20,90.10
522,175.08,87.54
523,76.28,38.14
524,70.51,35.25
525,162.17,81.09
526,180.59,90.30
527,169.27,84.63
528,169.72,84.86
529,76.37,38.18
530,172.90,86.45
531,74.41,37.21
532,63.44,31.72
533,290.17,145.08
534,60.69,30.35
535,51.70,25.85
536,174.10,87.05
537,180.20,90.10
538,67.80,33.90
539,60.94,30.47
540,68.58,34.29
541,52.46,26.23
542,63.78,31.89
543,50.00,25.00
544,177.90,88.95
545,180.22,90.11
546,285.29,142.64
547,284.47,142.24
548,69.46,34.73
549,78.52,39.26
550,161.03,80.51
551,175.04,87.52
552,66.27,33.13
553,152.94,76.47
554,420.24,210.12
555,178.79,89.40
556,168.40,84.20
557,71.11,35.55
558,61.73,30.86
559,171.23,85.62
560,179.75,89.88
561,73.90,36.95
562,160.80,80.40
563,160.06,80.03
564,189.01,94.51
565,180.44,90.22
566,68.95,34.47
567,167.46,83.73
568,75.03,37.51
569,44.94,22.47
570,177.96,88.98
571,181.46,90.73
572,294.88,147.44
573,157.62,78.81
574,61.47,30.73
575,86.19,43.10
576,55.68,27.84
577,171.91,85.96
578,80.43,40.22
579,51.57,25.79
580,165.13,82.56
581,171.44,85.72
582,250.19,125.09
583,22.42,11.21
584,15.57,7.79
585,15.38,7.69
586,148.56,74.28
587,21.88,10.94
588,7.96,3.98
589,14.36,7.18
590,11.00,5.50
591,12.54,6.27
592,12.17,6.08
593,11.99,5.99
594,20.17,10.09
595,6.39,3.19
596,21.74,10.87
597,18.23,9.11
598,79.29,39.64
599,16.57,8.29
600,15.51,7.76
601,9.45,4.73
602,5.68,2.84
603,15.22,7.61
604,10.96,5.48
605,14.91,7.46
606,14.99,7.49
607,14.08,7.04
608,20.30,10.15
609,13.70,6.85
610,11.34,5.67
611,10.18,5.09
612,20.54,10.27
613,9.14,4.57
614,10.74,5.37
615,8.30,4.15
616,7.61,3.81
617,17.54,8.77
618,31.59,15.79
619,18.57,9.29
620,10.68,5.34
621,6.11,3.05
622,11.79,5.89
623,10.57,5.28
624,5.94,2.97
625,5.25,2.63
626,40.91,20.45
627,12.75,6.37
628,13.36,6.68
629,10.02,5.01
630,10.11,5.06
631,7.08,3.54
632,9.36,4.68
633,13.20,6.60
634,8.16,4.08
635,4.61,2.30
636,5.88,2.94
637,5.90,2.95
638,37.95,18.98
639,40.38,20.19
640,11.91,5.95
641,56.50,28.25
642,24.89,12.45
643,13.87,6.93
644,14.91,7.45
645,29.33,14.67
646,7.36,3.68
647,15.91,7.96
648,9.86,4.93
649,12.02,6.01
650,9.89,4.95
651,13.08,6.54
652,8.81,4.40
653,19.58,9.79
654,6.64,3.32
655,12.14,6.07
656,13.71,6.86
657,31.79,15.89
658,14.28,7.14
659,15.11,7.56
660,7.45,3.72
661,6.19,3.09
662,13.33,6.66
663,11.27,5.63
664,8.12,4.06
665,30.56,15.28
666,12.51,6.25
667,64.74,32.37
668,245.16,122.58
669,62.34,31.17
670,54.85,27.43
671,15.55,7.77
672,17.78,8.89
673,13.85,6.92
674,5.88,2.94
675,8.88,4.44
676,6.13,3.07
677,12.43,6.22
678,7.49,3.74
679,10.02,5.01
680,6.92,3.46
681,9.69,4.84
682,9.09,4.55
683,14.60,7.30
684,9.13,4.57
685,13.96,6.98
686,10.47,5.24
687,18.22,9.11
688,11.51,5.76
689,9.95,4.97
690,7.50,3.75
691,11.16,5.58
