frequency,wavelength,ajoint,score,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.21875,1.4625000000000001,0.45,5.286804825029376,5.358129410659222,-1.3393151978382065,14.264917125969063,17.062792048094263,27.061388538655997,0.10049753549649373
1.291875,1.48,0.45,5.28626945364904,5.36439642075984,0.21302614661406916,15.625393422159831,18.732416832923374,27.9713191894752,0.10179643399086238
1.291875,1.445,0.45,5.285533300873131,5.362775157658965,0.20791610267893096,15.448371357166863,18.308840559347832,27.560200451249713,0.10179703862552594
1.291875,1.4975,0.45,5.279602227437579,5.358113051408908,0.21554767793187207,15.702164794265855,18.935163884012645,28.179127679749506,0.10179165678936863
1.291875,1.4275000000000002,0.45,5.27734323814391,5.354079982164638,0.2053261754713752,15.347348804145588,18.087311009916046,27.3423202460836,0.10179256283933445
1.28375,1.585,0.45,5.269637467155643,5.349779299498372,0.20178409324526062,16.028366468545595,19.86602866097157,28.924693234216555,0.10174670717725441
1.291875,1.5150000000000001,0.45,5.268500738751794,5.347358178964701,0.21805923782796133,15.771488042581264,19.132032895494195,28.408945076151028,0.10178412011048328
1.291875,1.4100000000000001,0.45,5.263319199932243,5.339506056080174,0.20270756432923825,15.237371229586245,17.85875920354516,27.11325736289548,0.10178472946070714
1.275625,1.655,0.45,5.2627934566373265,5.343596134150119,0.14107353191603822,16.16053550255849,20.457913268428705,28.93452166765957,0.10165896547261692
1.3,1.4625000000000001,0.45,5.258149434901029,5.335778616195093,0.20718647808427007,15.525836258812696,18.51417588310457,27.822280843627265,0.10175637512527236
1.21875,1.445,0.45,5.257863902333633,5.328602889729883,-1.333147653489004,14.147797479249963,16.836206741324006,26.83018098098431,0.10047026879155169
1.3,1.445,0.45,5.256848006382078,5.334029824539007,0.20544277000674083,15.43636363138578,18.30157424278678,27.615571523151427,0.10176171720311455
1.3,1.48,0.45,5.254685644932614,5.332723110749632,0.20891513765948214,15.60749316340353,18.72078343012105,28.026945170765153,0.10174863321774683
1.291875,1.5325,0.45,5.25299258196632,5.332160703561593,0.22054504636690458,15.83362431905455,19.323231192970013,28.63337545263252,0.10177400262511535
1.3,1.4275000000000002,0.45,5.250314477098531,5.327006996418434,0.20369115560247883,15.338503863980673,18.082498906376014,27.400732007954502,0.10176448577086197
1.3,1.4975,0.45,5.246593376096749,5.325000788507043,0.21063308903881078,15.681482482058842,18.92141154003331,28.253435630070292,0.10173867117915476
1.210625,1.585,0.45,5.238998196376498,5.312727506059067,-1.536809799472394,14.74586193651395,18.27443956488606,28.351641615291218,0.10072500753299804
1.3,1.4100000000000001,0.45,5.238083785102012,5.314242951862262,0.20192580845399485,15.231833352049929,17.856530587059417,27.17486795678141,0.10176451655635281
1.210625,1.5675000000000001,0.45,5.237985191560865,5.311346366011203,-1.535074373068619,14.672234890067562,18.085057860261607,28.167506086880238,0.1006949597315359
1.28375,1.6025,0.45,5.23784682025894,5.318180378193575,0.20525800499604185,16.06671158692691,20.03513192651006,28.933404886978273,0.10173236755042124
1.210625,1.6025,0.45,5.236625528486785,5.310692601780165,-1.5376971739118483,14.813414658675955,18.45893793910902,28.540277203284834,0.10075579948613417
1.3,1.5150000000000001,0.45,5.233950881139872,5.312691881185469,0.21234399709731983,15.74820000911928,19.116235760907273,28.499057250853046,0.10172667181087448
1.210625,1.55,0.45,5.233890340932551,5.3068536789146705,-1.5324771201531555,14.592667596423771,17.891038294132194,27.984818808292896,0.10066588750164715
1.291875,1.55,0.45,5.232925385932401,5.312370302930803,0.2229813021147535,15.888983399680209,19.50875641215311,28.81013168409492,0.10176148800104853
1.210625,1.62,0.45,5.230872709113639,5.305247645377716,-1.5377824380612704,14.874987252815556,18.638644639810316,28.683946634702476,0.10078711916228948
1.210625,1.5325,0.45,5.226605204811853,5.29914018298371,-1.5289593725583779,14.506995634371458,17.692199652099724,27.796694659014104,0.10063803687448547
1.21875,1.4275000000000002,0.45,5.223870736945292,5.293992445194251,-1.3259286216655497,14.024341649791726,16.604080533486343,26.587923927940146,0.10044559696008652
1.210625,1.6375,0.45,5.221743343537554,5.2963959546134465,-1.5370884583985345,14.930522215178522,18.813524174115827,28.75103536953007,0.10081876526588986
1.3,1.5325,0.45,5.216476261957643,5.295515778200336,0.2140016200159695,15.80790324853851,19.30521293487412,28.72276549140491,0.10171281853712083
1.210625,1.5150000000000001,0.45,5.215824862566836,5.287899882409172,-1.5244934001994146,14.41500396846712,17.488339859440607,27.600832279469426,0.10061166782809522
1.275625,1.6724999999999999,0.45,5.214342764338768,5.2952428112249175,0.14641268684098427,16.180009377230014,20.607651277920162,28.936770563686554,0.10164142813194585
1.210625,1.655,0.45,5.209223738796106,5.284124097599651,-1.5356334561851441,14.980071760709023,18.983621557694956,28.765372118937357,0.10085055157909618
1.291875,1.5675000000000001,0.45,5.207493525546638,5.287180374829221,0.22530618806947011,15.937369856516641,19.6881566582883,28.915699643420428,0.10174676232947384
1.210625,1.4975,0.45,5.201212908330475,5.272795907064392,-1.5190534073273811,14.316599746783453,17.279251517359764,27.396227954484637,0.10058705328694945
1.28375,1.62,0.45,5.199489249311719,5.279980692158815,0.20854270591792254,16.098288569419182,20.19822932539825,28.939175525766814,0.10171570949233194
1.3,1.55,0.45,5.193208824196785,5.272510143047247,0.21552931940543021,15.86026377009246,19.487702179026417,28.881543161050722,0.10169729332055194
1.210625,1.6724999999999999,0.45,5.193205170151464,5.2683238101768035,-1.5334773441888914,15.023728005067817,19.149118514260078,28.777142183235917,0.10088230674533294
1.21875,1.4100000000000001,0.45,5.184319392290762,5.253793213823616,-1.3176201769713807,13.894764306570782,16.366493480513512,26.33258014612056,0.10042391171112706
1.210625,1.48,0.45,5.182552489923338,5.253611633170687,-1.512618498780259,14.211828649469862,17.06485101673109,27.18233263138951,0.10056447772799956
1.291875,1.585,0.45,5.175516360849414,5.255408460619019,0.22733953795856207,15.97841995392082,19.860983847615945,28.941021828893657,0.10173001192922937
1.210625,1.69,0.45,5.173901199720941,5.249209656709041,-1.530635350502178,15.06169139762014,19.310031626420912,28.788016523930935,0.10091387392319809
1.3,1.5675000000000001,0.45,5.16354040197782,5.243067468962225,0.2166918002695535,15.905413396881045,19.66370609888717,28.947647048598302,0.101680274933772
1.275625,1.69,0.45,5.1609254455900775,5.241901845028954,0.15196665410417912,16.195279887775225,20.75408604606644,28.937925746538717,0.1016216873079444
