frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
0.975,1.7,0.45,3.5782953181173847,7.626731725939035,0.13111776261893832,3.587703551369296,-0.4704116625955613,0.4704116625955613,11.477471266550117,14.459233014295904,24.20685679788635,0.10119808858925561
0.975,1.5,0.45,3.567132402279631,8.802616869857683,0.11360258145782137,3.5752555675164572,-0.4061582618413177,0.4061582618413177,10.63990390785094,12.710226188169047,21.484281974637426,0.1013338915306124
0.975,1.75,0.45,3.5507561927275906,7.333149340810357,0.1363670577980475,3.560466800366663,-0.48553038195363,0.48553038195363,11.634088587810648,14.843465747895442,24.790714986384707,0.10119430616412156
0.975,1.45,0.45,3.519325843712444,9.059666854314539,0.11037933470188963,3.527112249783444,-0.3893203035499817,0.3893203035499817,10.367405012921639,12.21396434987268,20.69262322447867,0.10139508037213588
0.95,1.55,0.45,3.4902866625172844,9.201006406084598,0.10868376304343218,3.497889939343677,-0.38016384131963354,0.38016384131963354,10.779932874395131,12.970313639998805,21.4580571229781,0.10174510091573977
0.95,1.6,0.45,3.4880992741114696,8.788955431515781,0.11377916383716781,3.496054838035481,-0.39777819620056215,0.39777819620056215,11.002322691712212,13.408488796657709,22.139148831096218,0.1016876452043654
0.95,1.5,0.45,3.4735347553585556,9.605351741641861,0.10410862890785381,3.480782344907656,-0.3623794774550004,0.3623794774550004,10.531792320988359,12.50824162744997,20.73445812407363,0.10178900742387757
0.95,1.65,0.45,3.4700634116815663,8.380826578332655,0.11931997287539,3.4783641780691252,-0.4150383193779363,0.4150383193779363,11.201123178300408,13.824296360560108,22.780804173247034,0.10162097759009009
0.95,1.7,0.45,3.4392092165904278,7.984402297900595,0.12524419019604488,3.4478456693660418,-0.4318226387806902,0.4318226387806902,11.378370236950602,14.218876977012675,23.385597264444915,0.10154892335157824
0.95,1.45,0.45,3.4338662834234595,9.983249134249341,0.10016778971981367,3.4407593486016035,-0.3446532589072085,0.3446532589072085,10.25584547951663,12.020733150856298,19.96457919717291,0.10181471582101632
0.95,1.75,0.45,3.397779711183577,7.604066011056172,0.13150859008141413,3.406740022726831,-0.44801557716273027,0.44801557716273027,11.535576107591245,14.593231312181851,23.955442478344455,0.10147471273082016
