frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
0.9,1.4222222222222223,0.1,-2.5545881072182537,0.009478153183429294,105.50578584742705,0.008038537495008201,-0.1257733985917502,0.8481122154748479,0.8630064239523493,1.3478240838505013,0.005092231910479259
0.7,0.8,0.25,-2.5713962246880118,-0.07583206692479928,inf,-0.06238156318888664,0.229878045719397,0.8226277578685656,0.838268623735356,1.314317181044574,0.03136851879575435
0.5,1.2666666666666666,0.25,-2.571698017256317,0.18468620448810502,5.414589588711843,0.20549749313093235,-2.712334678761863e-05,1.1126845868131299,1.1497349155158676,2.018025160617396,0.031249999999662527
0.8,1.1111111111111112,0.15,-2.670294732198912,0.05572672766990377,17.94471058705405,0.05263597010716035,-0.009046333777615984,0.9445372500418208,0.9511207963261443,1.4510073763100146,0.011142355830879675
0.8,1.7333333333333334,0.1,-2.673725375717256,0.009030080801292936,110.74098028633576,0.008010922389864786,-0.05770298478686092,0.8871373984513821,0.9087034853725345,1.3794257304798103,0.0049985353607121235
1.1,1.1111111111111112,0.1,-2.6981841361693895,0.02373036705565985,42.14009828227639,0.02166741061075873,-0.08922254458896701,0.9130668126598113,0.91929025415674,1.2560006625349731,0.005022495468464671
0.6,1.888888888888889,0.15,-2.7073871551459487,0.1027283688471493,9.73440940630442,0.10538702073317598,0.15564328852294876,1.0258804059274271,1.0740750007154594,1.8572852990786486,0.011233807432676901
1.0,1.2666666666666666,0.1,-2.735882732323208,0.02103773705102153,47.53362957122059,0.019406510756234726,-0.00014083601938693846,0.9224618935567693,0.9325482128319004,1.3580423809558844,0.0049999999999457995
0.5,1.7333333333333334,0.2,-2.796554557838715,0.13839483243636225,7.22570331850958,0.15503344610256337,-0.00034824324441001407,1.1202256859832682,1.1864433273062704,2.092395055017027,0.019999999999804497
0.9,0.8,0.2,-2.8104612203910113,-0.056915040633807215,inf,-0.051484354244093734,-0.13506109507685518,0.9045825790645631,0.9214259713998473,1.4223583486502909,0.020217656022917887
0.5,1.1111111111111112,0.3,-2.8137324145822635,0.17774003314935735,5.626194517245794,0.21381118791986745,9.851534693223129e-05,1.2029433332005683,1.2344692303651514,2.1577236755885862,0.044999999999563924
1.1,0.8,0.15,-2.831569710742447,-0.03405184765986531,inf,-0.03126412433748575,-0.09544744284708752,0.9181329791491676,0.9307844217239655,1.2431969947960557,0.011143918834334191
0.5,0.8,0.4,-2.8481596881858358,-0.06559692092715828,inf,-0.059966199285576366,-0.00012469256808020644,0.9141617996394293,0.9405641682615221,1.624026263261832,0.07999999999916577
0.6,1.1111111111111112,0.25,-2.866733815143888,0.1577855065184265,6.337717716064232,0.18700107734798432,0.14395116654749568,1.185160040831418,1.209690817429126,2.1658639036999707,0.03150962600505279
0.9,1.577777777777778,0.1,-2.904137426062212,0.001450804012410006,689.2729765330935,0.0013840544910022573,-0.1434176515575403,0.9539913586971216,0.9770024794639147,1.5469997031374187,0.005059702772712075
0.6,2.0444444444444443,0.15,-2.904238208505661,0.09610819780694234,10.404939670274052,0.10471358564997729,0.16834335307995985,1.0895385413460885,1.1479907946334909,1.984536156308322,0.011353096551410986
0.8,1.888888888888889,0.1,-2.9088988801237705,-0.0006233482696709964,inf,-0.0005943890400634153,-0.06882192231469939,0.9535424560930188,0.9810338564224007,1.4975190024105365,0.005000620168968227
0.6,1.4222222222222223,0.2,-2.9098977603900815,0.16889749620187244,5.920750884339715,0.2069880276736761,0.15900579542336782,1.2255245478966512,1.2717483698866199,2.2754674738049525,0.019689924776794786
0.7,1.4222222222222223,0.15,-2.9647041710867095,0.0732215929389797,13.657173517562843,0.07873464472991556,0.31232971328263115,1.0752927049201217,1.098639549836622,1.7699082067817586,0.011240539070968229
0.5,1.4222222222222223,0.25,-2.9653224613144675,0.20180145540910732,4.955365648739865,0.26681288645362733,-0.00014336081925603138,1.322155412173435,1.3913730365288133,2.465701175095127,0.03124999999965556
1.3,0.9555555555555556,0.1,-3.0030657977367667,-0.005026345675529625,inf,-0.004940856502645782,0.04356110140322953,0.9829917840111873,0.9889387482355538,1.3522534738184442,0.004999903395687278
0.5,0.9555555555555556,0.35,-3.0193674198798277,0.09226236125652182,10.838656049780129,0.10390865551111798,7.119627331360334e-05,1.1262301776800983,1.1462456577197435,1.9875859835515526,0.061249999999446476
0.5,1.888888888888889,0.2,-3.0567169423178497,0.12772674711517587,7.829213712757152,0.15376534460130517,-0.00044821552165581123,1.2038617444993673,1.288875997320239,2.2784249667826515,0.01999999999981776
0.6,2.2,0.15,-3.082880949113646,0.08859707019474278,11.287054953419199,0.10132550541425403,0.18011664980600672,1.1436665477936598,1.2117151509860073,2.092214510122418,0.011460414468976207
0.8,2.0444444444444443,0.1,-3.0885484478732805,-0.010733374043806261,inf,-0.010830915892436281,-0.08041775119522254,1.0090877154035554,1.0423517832395668,1.5977599369287876,0.004991967430004129
0.6,0.9555555555555556,0.3,-3.1104686094456686,0.09823390054488715,10.17978512970742,0.11499663473678697,0.14433185341668917,1.1706410322599399,1.1904699090344248,2.112439366252455,0.045004095425877765
0.6,0.8,0.35,-3.1251919459027704,-0.027579548658382608,inf,-0.028006224364333497,0.143666540165332,1.015470728373258,1.0410945886590066,1.8025653910905368,0.06019338263815366
1.0,0.9555555555555556,0.15,-3.1602239441586217,0.014529798856807693,68.8240773224102,0.015347342106982468,-1.4560760729921184e-05,1.0562666598644432,1.0628882266614441,1.5551022731069508,0.011249999999898236
0.7,1.1111111111111112,0.2,-3.1729265183483046,0.0909262271257299,10.997926908561066,0.10739782020738688,0.3589109587987269,1.1811533767796236,1.1933096884812555,1.9119290169665837,0.019810518143924278
0.9,1.7333333333333334,0.1,-3.1877084075150424,-0.007995759106634286,inf,-0.008334919514776964,-0.15943037805466084,1.0424175370492674,1.074210916534647,1.7177559950731214,0.005025403193297988
1.0,1.4222222222222223,0.1,-3.210531497715077,0.01872098340261507,53.415997359428964,0.020202340191465742,-0.00025660428385711496,1.0791281503216197,1.0971372669638435,1.6313321305949127,0.004999999999945672
0.9,1.1111111111111112,0.15,-3.2118441931255233,0.04858982036314917,20.5804424162557,0.054650758887406,-0.1596854282946656,1.1247367962869335,1.133361579557437,1.8040839657630752,0.011366485210728272
0.5,1.2666666666666666,0.3,-3.231100279325986,0.2327869250606554,4.295773913158731,0.3549836383937888,6.204727280612587e-05,1.5249294534102102,1.600251696464421,2.839307925180436,0.04499999999951403
0.8,2.2,0.1,-3.2414324042611056,-0.02079444090538373,inf,-0.02194994678944721,-0.09199386898572326,1.0555680188431666,1.0943418751901655,1.6829683193423992,0.0049762796139820676
1.2000000000000002,1.1111111111111112,0.1,-3.2481215438611484,0.012200695444960042,81.96254094786767,0.013204511014562787,-0.17939981696085747,1.082275274727672,1.0899829939838814,1.46367516541924,0.004972418167597114
0.8,1.2666666666666666,0.15,-3.2522028706598176,0.07844305457274005,12.748101223833686,0.09323519371090051,0.0013492697438451842,1.1885716870503016,1.2044877333520025,1.8770398675773656,0.011111401670086882
0.8,0.9555555555555556,0.2,-3.261249328919329,0.032166826456128825,31.087928470776063,0.035909652263390254,0.0027324976705502308,1.116356700974718,1.1242811437327573,1.7299224259362975,0.019999374219945194
1.1,1.2666666666666666,0.1,-3.270038123632458,0.030188991863891602,33.12465697789923,0.03370123936830387,-0.10393509096178756,1.1163419938051389,1.1287523054810376,1.6062625767531513,0.00498844553586137
0.6,1.577777777777778,0.2,-3.2743686376615875,0.17465743050917573,5.7254935967208365,0.24321682473981235,0.18255241218433865,1.3925363726625695,1.4647707771083625,2.630686120724716,0.019653437679777792
0.5,2.0444444444444443,0.2,-3.2935832832907113,0.11540559736488713,8.66509097334525,0.1468479501334454,-0.0005391772916982518,1.2724508471555713,1.3757211829925182,2.43514755547971,0.0199999999998267
0.6,1.2666666666666666,0.25,-3.331046977287871,0.20534265287355755,4.869908837769634,0.30691779740970854,0.17404755840312583,1.4946616940743296,1.551447054184081,2.8364676135582183,0.031120482714552776
1.2000000000000002,0.8,0.15,-3.341538739158894,-0.05592702098696782,inf,-0.06016957447194623,-0.16675464482237118,1.0758587425203108,1.0917656163706486,1.4531011352588195,0.01127510203234677
0.5,1.577777777777778,0.25,-3.3545117387869783,0.20242047369483251,4.940211737215831,0.3030917143408316,-0.0002994001462191136,1.4973372446394442,1.6039385330105165,2.8561283521808742,0.031249999999671256
