start,iteration,frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
3,3,1.0,1.64,0.45,3.9339580678832564,596.4376256925331,0.001676621254131787,3.934089987461029,-0.006595978888644216,0.006595978888644216,11.837777119559023,14.675306314855382,24.257680901580652,0.10125000000000038
1,1,1.0,1.6099999999999999,0.45,3.933529356318056,650.3189988210373,0.001537706882026973,3.9336503323418066,-0.006048801187529686,0.006048801187529686,11.710707879082692,14.407507898518464,23.852772758364654,0.10125000000000045
2,0,1.0,1.6099999999999999,0.45,3.933529356318056,650.3189988210373,0.001537706882026973,3.9336503323418066,-0.006048801187529686,0.006048801187529686,11.710707879082692,14.407507898518464,23.852772758364654,0.10125000000000045
2,2,1.0,1.6099999999999999,0.45,3.933529356318056,650.3189988210373,0.001537706882026973,3.9336503323418066,-0.006048801187529686,0.006048801187529686,11.710707879082692,14.407507898518464,23.852772758364654,0.10125000000000045
3,2,1.0,1.6099999999999999,0.45,3.933529356318056,650.3189988210373,0.001537706882026973,3.9336503323418066,-0.006048801187529686,0.006048801187529686,11.710707879082692,14.407507898518464,23.852772758364654,0.10125000000000045
1,1,1.0,1.65,0.45,3.933004364332947,580.4067527006416,0.0017229296443347438,3.933139894799348,-0.006776523320065432,0.006776523320065432,11.878408335050109,14.762779040180583,24.389565778868743,0.10125000000000034
2,2,1.0,1.65,0.45,3.933004364332947,580.4067527006416,0.0017229296443347438,3.933139894799348,-0.006776523320065432,0.006776523320065432,11.878408335050109,14.762779040180583,24.389565778868743,0.10125000000000034
3,0,1.0,1.65,0.45,3.933004364332947,580.4067527006416,0.0017229296443347438,3.933139894799348,-0.006776523320065432,0.006776523320065432,11.878408335050109,14.762779040180583,24.389565778868743,0.10125000000000034
3,2,1.0,1.65,0.45,3.933004364332947,580.4067527006416,0.0017229296443347438,3.933139894799348,-0.006776523320065432,0.006776523320065432,11.878408335050109,14.762779040180583,24.389565778868743,0.10125000000000034
2,1,1.0,1.5899999999999999,0.45,3.930171284916243,692.0631461638468,0.0014449548506419798,3.9302848665998913,-0.00567908418239828,0.00567908418239828,11.621445618804284,14.224415017752651,23.574274964020848,0.1012500000000005
3,1,1.0,1.67,0.45,3.929560873260209,551.0072941665838,0.0018148580074834255,3.9297035103378644,-0.007131853882772399,0.007131853882772399,11.957131685007946,14.935072824497023,24.648249148286872,0.10125000000000028
